"Ranking","Team","Rating"
1," Kentucky",6.62184297633446
2," West_Virginia",5.8104322366886
3," Louisville",4.70382077032342
4," UCLA",4.28424613865447
5," Villanova",4.20373337657692
6," Gonzaga",4.19658430428987
7," Baylor",4.15198361865575
8," North_Carolina",4.07584014102998
9," Kansas",3.99282607694678
10," Duke",3.87852385492932
11," Purdue",3.69047635767655
12," Butler",3.54743468959572
13," Florida_St",3.52094879865278
14," Virginia",3.5055639611966
15," Creighton",3.31966405888895
16," Notre_Dame",3.2847847137519
17," Indiana",3.27369704771953
18," Wisconsin",3.18129634419615
19," Arizona",3.05792521966343
20," Cincinnati",2.99613949827869
21," Florida",2.94983251111551
22," Oregon",2.79221267886257
23," Minnesota",2.74047192337087
24," Wichita_St",2.67949135167856
25," Iowa_St",2.66955371152985
26," SMU",2.649614472373
27," Texas_Tech",2.58745920850626
28," Xavier",2.56321941365601
29," Clemson",2.48914042472791
30," Kansas_St",2.37238621030268
31," Northwestern",2.3519451080331
32," St_Mary's_CA",2.32784934487863
33," Michigan_St",2.23616488412693
34," TCU",2.14752622888422
35," Michigan",2.11135236609938
36," Pittsburgh",2.0977075337362
37," Marquette",2.06816435096575
38," South_Carolina",2.06794324903903
39," Oklahoma_St",2.04332345861911
40," Virginia_Tech",2.01179803264956
41," Rhode_Island",1.96320280743484
42," Dayton",1.95768829863534
43," Ohio_St",1.95743045698295
44," Houston",1.92607744039605
45," California",1.89281709931681
46," Seton_Hall",1.84328222669543
47," Wake_Forest",1.81991775864656
48," Maryland",1.81556696691248
49," Temple",1.80070302107034
50," Arkansas",1.77634663145297
51," VA_Commonwealth",1.73999963925557
52," USC",1.73484157941347
53," BYU",1.73379516674586
54," Miami_FL",1.73351302262722
55," UCF",1.72243297360001
56," Syracuse",1.702933465044
57," Providence",1.69391413802665
58," Tennessee",1.66976109638816
59," NC_State",1.65771157684563
60," Penn_St",1.63031647193535
61," Georgetown",1.62262245268777
62," St_John's",1.61388984776134
63," Memphis",1.60992259535045
64," Illinois_St",1.57871625558807
65," Georgia",1.54000352395633
66," MTSU",1.51268686340414
67," Nebraska",1.49999866001252
68," UNC_Wilmington",1.48864824253854
69," Iowa",1.48460802654218
70," Oakland",1.48126142859312
71," Nevada",1.42819972518763
72," Vanderbilt",1.40872929144723
73," Mississippi",1.40849054149957
74," Texas",1.40845749956128
75," Colorado",1.36450687849444
76," Texas_A&M",1.35542592745289
77," Illinois",1.35396469328024
78," Boise_St",1.31938689007537
79," Alabama",1.30763359618607
80," Oklahoma",1.29901271859162
81," Utah",1.29271245244823
82," Old_Dominion",1.27937004501655
83," ETSU",1.26937066672417
84," St_Bonaventure",1.22153184274542
85," Northeastern",1.21779336885538
